Q,"54584",2,homo
B,"48052",2,homo
I,"42921",2,homo
Q,"35456",2,hetero
B,"9331",2,hetero
I,"7465",2,hetero
Q,"8865",3,homo
B,"7931",3,homo
I,"8397",3,homo
Q,"11663",3,hetero
B,"9797",3,hetero
I,"8397",3,hetero
Q,"13996",4,homo
B,"10264",4,homo
I,"10730",4,homo
Q,"12597",4,hetero
B,"11197",4,hetero
I,"9330",4,hetero
Q,"17262",5,homo
B,"9331",5,homo
I,"10730",5,homo
Q,"14930",5,hetero
B,"8398",5,hetero
I,"9331",5,hetero
Q,"17728",6,homo
B,"11197",6,homo
I,"9331",6,homo
Q,"18195",6,hetero
B,"12596",6,hetero
I,"12130",6,hetero
Q,"13529",7,homo
B,"10730",7,homo
I,"13063",7,homo
Q,"18661",7,hetero
B,"12130",7,hetero
I,"30791",7,hetero
Q,"18195",8,homo
B,"11197",8,homo
I,"13996",8,homo
Q,"24726",8,hetero
B,"13996",8,hetero
I,"10264",8,hetero
Q,"20528",9,homo
B,"14463",9,homo
I,"13529",9,homo
Q,"16328",9,hetero
B,"18661",9,hetero
I,"13996",9,hetero
Q,"27525",10,homo
B,"15862",10,homo
I,"17261",10,homo
Q,"23793",10,hetero
B,"16795",10,hetero
I,"16328",10,hetero
Q,"21927",11,homo
B,"13996",11,homo
I,"18660",11,homo
Q,"20527",11,hetero
B,"16796",11,hetero
I,"17261",11,hetero
Q,"26593",12,homo
B,"16795",12,homo
I,"20060",12,homo
Q,"26126",12,hetero
B,"16329",12,hetero
I,"18661",12,hetero
Q,"55051",13,homo
B,"19595",13,homo
I,"21927",13,homo
Q,"25659",13,hetero
B,"21461",13,hetero
I,"31257",13,hetero
Q,"27992",14,homo
B,"20994",14,homo
I,"23327",14,homo
Q,"30324",14,hetero
B,"52718",14,hetero
I,"57850",14,hetero
Q,"29858",15,homo
B,"23327",15,homo
I,"25192",15,homo
Q,"59715",15,hetero
B,"21460",15,hetero
I,"21927",15,hetero
Q,"21460",16,homo
B,"25659",16,homo
I,"27525",16,homo
Q,"28925",16,hetero
B,"25193",16,hetero
I,"27992",16,hetero
Q,"31724",17,homo
B,"27526",17,homo
I,"30791",17,homo
Q,"31724",17,hetero
B,"27059",17,hetero
I,"29391",17,hetero
Q,"79310",18,homo
B,"50386",18,homo
I,"28924",18,homo
Q,"4702156",18,hetero
B,"29391",18,hetero
I,"50385",18,hetero
Q,"11664",19,homo
B,"32658",19,homo
I,"30325",19,homo
Q,"18195",19,hetero
B,"30790",19,hetero
I,"35456",19,hetero
Q,"14462",20,homo
B,"34990",20,homo
I,"24260",20,homo
Q,"18661",20,hetero
B,"55983",20,hetero
I,"39188",20,hetero
Q,"12597",21,homo
B,"39655",21,homo
I,"56450",21,homo
Q,"18661",21,hetero
B,"30324",21,hetero
I,"27059",21,hetero
Q,"21461",22,homo
B,"40122",22,homo
I,"38255",22,homo
Q,"18661",22,hetero
B,"38721",22,hetero
I,"37789",22,hetero
Q,"17262",23,homo
B,"63914",23,homo
I,"34523",23,homo
Q,"13529",23,hetero
B,"40588",23,hetero
I,"56917",23,hetero
Q,"17261",24,homo
B,"31724",24,homo
I,"43854",24,homo
Q,"20061",24,hetero
B,"62515",24,hetero
I,"34056",24,hetero
Q,"17729",25,homo
B,"34057",25,homo
I,"68580",25,homo
Q,"16795",25,hetero
B,"48986",25,hetero
I,"49452",25,hetero
Q,"19127",26,homo
B,"73246",26,homo
I,"49452",26,homo
Q,"19128",26,hetero
B,"56917",26,hetero
I,"79310",26,hetero
Q,"19594",27,homo
B,"55051",27,homo
I,"52718",27,homo
Q,"19594",27,hetero
B,"72779",27,hetero
I,"59715",27,hetero
Q,"15395",28,homo
B,"53184",28,homo
I,"74644",28,homo
Q,"20994",28,hetero
B,"53185",28,hetero
I,"42455",28,hetero
Q,"19594",29,homo
B,"76977",29,homo
I,"59716",29,homo
Q,"19128",29,hetero
B,"60649",29,hetero
I,"64848",29,hetero
Q,"19594",30,homo
B,"82109",30,homo
I,"66714",30,homo
Q,"22393",30,hetero
B,"70913",30,hetero
I,"78843",30,hetero
Q,"18194",31,homo
B,"83508",31,homo
I,"58783",31,homo
Q,"16796",31,hetero
B,"62982",31,hetero
I,"93306",31,hetero
Q,"21460",32,homo
B,"90507",32,homo
I,"70913",32,homo
Q,"23793",32,hetero
B,"68580",32,hetero
I,"108235",32,hetero
Q,"20994",33,homo
B,"90507",33,homo
I,"75111",33,homo
Q,"21460",33,hetero
B,"76977",33,hetero
I,"104502",33,hetero
Q,"22859",34,homo
B,"95172",34,homo
I,"78377",34,homo
Q,"24726",34,hetero
B,"76978",34,hetero
I,"105435",34,hetero
Q,"22860",35,homo
B,"106835",35,homo
I,"90040",35,homo
Q,"23794",35,hetero
B,"100304",35,hetero
I,"116633",35,hetero
Q,"21461",36,homo
B,"86774",36,homo
I,"107302",36,homo
Q,"24260",36,hetero
B,"112434",36,hetero
I,"83509",36,hetero
Q,"24259",37,homo
B,"107302",37,homo
I,"105902",37,homo
Q,"24726",37,hetero
B,"92840",37,hetero
I,"106369",37,hetero
Q,"22861",38,homo
B,"114300",38,homo
I,"112900",38,homo
Q,"26593",38,hetero
B,"115700",38,hetero
I,"123163",38,hetero
Q,"25193",39,homo
B,"129695",39,homo
I,"116633",39,homo
Q,"27058",39,hetero
B,"98438",39,hetero
I,"123631",39,hetero
Q,"39655",40,homo
B,"130629",40,homo
I,"129696",40,homo
Q,"27058",40,hetero
B,"115699",40,hetero
I,"118032",40,hetero
Q,"23793",41,homo
B,"139026",41,homo
I,"139026",41,homo
Q,"26593",41,hetero
B,"135760",41,hetero
I,"116165",41,hetero
Q,"47586",42,homo
B,"110101",42,homo
I,"132028",42,homo
Q,"33590",42,hetero
B,"137627",42,hetero
I,"140425",42,hetero
Q,"27059",43,homo
B,"144624",43,homo
I,"133427",43,homo
Q,"28925",43,hetero
B,"132960",43,hetero
I,"145091",43,hetero
Q,"27059",44,homo
B,"126430",44,homo
I,"147890",44,homo
Q,"27525",44,hetero
B,"141358",44,hetero
I,"159087",44,hetero
Q,"32191",45,homo
B,"156754",45,homo
I,"152089",45,homo
Q,"29858",45,hetero
B,"163286",45,hetero
I,"136226",45,hetero
Q,"25193",46,homo
B,"140426",46,homo
I,"160020",46,homo
Q,"32191",46,hetero
B,"165618",46,hetero
I,"421277",46,hetero
Q,"29391",47,homo
B,"163752",47,homo
I,"162353",47,homo
Q,"30791",47,hetero
B,"162352",47,hetero
I,"172150",47,hetero
Q,"27059",48,homo
B,"198741",48,homo
I,"167484",48,homo
Q,"35456",48,hetero
B,"158154",48,hetero
I,"185212",48,hetero
Q,"23327",49,homo
B,"154421",49,homo
I,"129696",49,homo
Q,"32191",49,hetero
B,"173549",49,hetero
I,"188012",49,hetero
Q,"26592",50,homo
B,"185212",50,homo
I,"181013",50,homo
Q,"30791",50,hetero
B,"188945",50,hetero
I,"202007",50,hetero
Q,"28925",51,homo
B,"193143",51,homo
I,"188944",51,homo
Q,"81642",51,hetero
B,"192677",51,hetero
I,"143691",51,hetero
Q,"25659",52,homo
B,"198742",52,homo
I,"215071",52,homo
Q,"34989",52,hetero
B,"40121",52,hetero
I,"42454",52,hetero
Q,"74645",53,homo
B,"55983",53,homo
I,"40122",53,homo
Q,"122697",53,hetero
B,"27059",53,hetero
I,"41521",53,hetero
Q,"19128",54,homo
B,"52251",54,homo
I,"45254",54,homo
Q,"20993",54,hetero
B,"26593",54,hetero
I,"50852",54,hetero
Q,"18661",55,homo
B,"43854",55,homo
I,"64381",55,homo
Q,"24259",55,hetero
B,"50385",55,hetero
I,"46653",55,hetero
Q,"21927",56,homo
B,"56450",56,homo
I,"48986",56,homo
Q,"20994",56,hetero
B,"52718",56,hetero
I,"45719",56,hetero
Q,"21927",57,homo
B,"47120",57,homo
I,"43854",57,homo
Q,"21927",57,hetero
B,"69980",57,hetero
I,"64381",57,hetero
Q,"20060",58,homo
B,"43854",58,homo
I,"66714",58,homo
Q,"22393",58,hetero
B,"51318",58,hetero
I,"52718",58,hetero
Q,"19594",59,homo
B,"58783",59,homo
I,"31724",59,homo
Q,"20527",59,hetero
B,"52251",59,hetero
I,"65781",59,hetero
Q,"20527",60,homo
B,"82109",60,homo
I,"49452",60,homo
Q,"25193",60,hetero
B,"58783",60,hetero
I,"88174",60,hetero
Q,"24726",61,homo
B,"65314",61,homo
I,"51318",61,homo
Q,"24726",61,hetero
B,"54584",61,hetero
I,"54585",61,hetero
Q,"20527",62,homo
B,"79776",62,homo
I,"53651",62,homo
Q,"19128",62,hetero
B,"55050",62,hetero
I,"76510",62,hetero
Q,"21460",63,homo
B,"71379",63,homo
I,"65781",63,homo
Q,"23793",63,hetero
B,"74645",63,hetero
I,"74645",63,hetero
Q,"21461",64,homo
B,"125497",64,homo
I,"52718",64,homo
Q,"23793",64,hetero
B,"61582",64,hetero
I,"122697",64,hetero
Q,"20994",65,homo
B,"72779",65,homo
I,"65781",65,homo
Q,"47120",65,hetero
B,"77445",65,hetero
I,"62515",65,hetero
Q,"34523",66,homo
B,"341966",66,homo
I,"67647",66,homo
Q,"24726",66,hetero
B,"12596",66,hetero
I,"282717",66,hetero
Q,"22860",67,homo
B,"13529",67,homo
I,"13529",67,homo
Q,"24726",67,hetero
B,"13063",67,hetero
I,"15862",67,hetero
Q,"22860",68,homo
B,"13996",68,homo
I,"12596",68,homo
Q,"26592",68,hetero
B,"13995",68,hetero
I,"15862",68,hetero
Q,"23327",69,homo
B,"14463",69,homo
I,"14462",69,homo
Q,"27992",69,hetero
B,"12597",69,hetero
I,"15395",69,hetero
Q,"21927",70,homo
B,"14463",70,homo
I,"15396",70,homo
Q,"24726",70,hetero
B,"15395",70,hetero
I,"16329",70,hetero
Q,"20528",71,homo
B,"13996",71,homo
I,"15862",71,homo
Q,"29858",71,hetero
B,"14462",71,hetero
I,"17261",71,hetero
Q,"31257",72,homo
B,"19128",72,homo
I,"14929",72,homo
Q,"27992",72,hetero
B,"13529",72,hetero
I,"16329",72,hetero
Q,"23793",73,homo
B,"15862",73,homo
I,"14929",73,homo
Q,"27058",73,hetero
B,"14462",73,hetero
I,"15862",73,hetero
Q,"24260",74,homo
B,"14929",74,homo
I,"15395",74,homo
Q,"27058",74,hetero
B,"15395",74,hetero
I,"18195",74,hetero
Q,"21460",75,homo
B,"16329",75,homo
I,"16328",75,homo
Q,"28458",75,hetero
B,"14462",75,hetero
I,"18195",75,hetero
Q,"23793",76,homo
B,"15395",76,homo
I,"13063",76,homo
Q,"28458",76,hetero
B,"15396",76,hetero
I,"19128",76,hetero
Q,"21460",77,homo
B,"15862",77,homo
I,"14929",77,homo
Q,"26126",77,hetero
B,"15396",77,hetero
I,"16795",77,hetero
Q,"22860",78,homo
B,"16329",78,homo
I,"21927",78,homo
Q,"27992",78,hetero
B,"15396",78,hetero
I,"19128",78,hetero
Q,"23792",79,homo
B,"15396",79,homo
I,"16795",79,homo
Q,"29858",79,hetero
B,"16329",79,hetero
I,"18661",79,hetero
Q,"24260",80,homo
B,"11196",80,homo
I,"16795",80,homo
Q,"30791",80,hetero
B,"16329",80,hetero
I,"19594",80,hetero
Q,"26592",81,homo
B,"15396",81,homo
I,"17262",81,homo
Q,"27059",81,hetero
B,"15862",81,hetero
I,"20061",81,hetero
